Card-set,,Rarity,Card_name,Other names,Card type,Attribute,Types,Level,ATK / DEF,Rank,,,,,
Return of the Duelist,,Short Print,Goblin Marauding Squad,,Monster,EARTH,Beast-Warrior / Effect,4,1900 / 0,,,,,,
The Lost Millennium,,Rare,Kozaky's Self-Destruct Button,,Trap,,,,,,,,,,
Blazing Vortex,,Super Rare,Fabled Andwraith,,Monster,LIGHT,Fiend / Synchro / Effect,6,2400 / 1900,,,,,,
Magician's Force,,Common,Wave-Motion Cannon,,Spell,,,,,,,,,,
Duelist Revolution,,Super Rare,Amazoness Heirloom,,Spell,,,,,,,,,,
Cosmo Blazer,,Common,Spell Wall,,Spell,,,,,,,,,,
Rising Rampage,,Rare,"Hraesvelgr, the Desperate Doom Eagle",,Monster,WIND,Winged Beast / Link / Effect,,,,,,,,
Maximum Gold,,Rare,Dimensional Prison,,Trap,,,,,,,,,,
The Duelist Genesis,,Common,Book of Eclipse,,Spell,,,,,,,,,,
Shadow Specters,,Secret Rare,Divine Dragon Knight Felgrand,,Monster,LIGHT,Warrior / Xyz / Effect,,2800 / 1800,8,,,,,
Storm of Ragnarok,,Secret Rare,Vanadis of the Nordic Ascendant,,Monster,DARK,Fairy / Tuner / Effect,4,1200 / 400,,,,,,
Dimension Force,,Common,Parasomnia Pillow,,Spell,,,,,,,,,,
Legacy of Darkness,,Super Rare,Drop Off,,Trap,,,,,,,,,,
Raging Tempest,,Common,Void Feast,,Trap,,,,,,,,,,
Cybernetic Horizon,,Short Print,Noble Arms - Clarent,,Spell,,,,,,,,,,
Maximum Crisis ,,Common,Lyrilusc - Cobalt Sparrow,,Monster,WIND,Winged Beast / Effect,1,0 / 100,,,,,,
Order of Chaos,,Secret Rare,Tour Bus From the Underworld,,Monster,DARK,Fiend / Effect,3,1000 / 1000,,,,,,
Flames of Destruction,,Rare,World Legacy Awakens,,Trap,,,,,,,,,,
Shadow Specters,,Rare,Giganticastle,,Monster,EARTH,Rock / Synchro / Effect,9,2900 / 2800,,,,,,
Phantom Rage,,Super Rare,Raidraptor's Phantom Knights Claw,,Trap,,,,,,,,,,
Pharaoh's Servant,,Common,Dokuroyaiba,,Monster,FIRE,Fiend / Normal,3,1000 / 400,,,,,,
Duelist Revolution,,Short Print,Cursed Armaments,,Spell,,,,,,,,,,
Soul Fusion,,Rare,Orcustrated Babel,,Spell,,,,,,,,,,
Soul Fusion,,Common,Diplexer Chimera,,Monster,LIGHT,Cyberse / Fusion / Effect,5,2000 / 800,,,,,,
Code of the Duelist,,Ultra Rare,Trickstar Holly Angel,,Monster,LIGHT,Fairy / Link / Effect,,,,,,,,
Legendary Duelists: Synchro Storm,,Common,Stardust Warrior,,Monster,WIND,Warrior / Synchro / Effect,10,3000 / 2500,,,,,,
Enemy of Justice,,Rare,Elemental Absorber,,Trap,,,,,,,,,,
Stardust Overdrive,,Common,Infernity Necromancer,,Monster,DARK,Fiend / Effect,3,0 / 2000,,,,,,
Battle of Chaos,,Super Rare,Magikuriboh,,Monster,DARK,Fiend / Effect,1,300 / 200,,,,,,
Invasion: Vengeance,,Secret Rare,Dark Requiem Xyz Dragon,,Monster,DARK,Dragon / Xyz / Effect,,3000 / 2500,5,,,,,
Battle of Chaos,,Common,Smoke Mosquito,,Monster,DARK,Insect / Effect,1,0 / 0,,,,,,
Gladiator's Assault,,Secret Rare,Elemental HERO Plasma Vice,Elemental Hero Plasma Vice,Monster,EARTH,Warrior / Fusion / Effect,8,2600 / 2300,,,,,,
Savage Strike,,Common,T.G. Booster Raptor,,Monster,WIND,Dinosaur / Effect,1,400 / 300,,,,,,
Storm of Ragnarok,,Common,Mimir of the Nordic Ascendant,,Monster,DARK,Fairy / Effect,2,600 / 0,,,,,,
Metal Raiders,,Common,Blue-Winged Crown,,Monster,WIND,Winged Beast,4,1600 / 1200,,,,,,
Ancient Sanctuary,,Common,Lady Ninja Yae,,Monster,WIND,Warrior / Effect,3,1100 / 200,,,,,,
Soul Fusion,,Super Rare,Thunder Dragonduo,,Monster,DARK,Thunder / Effect,8,2800 / 0,,,,,,
Cybernetic Horizon,,Secret Rare,Mekk-Knight of the Morning Star,,Monster,LIGHT,Machine / Link / Effect,,,,,,,,
Storm of Ragnarok,,Common,Worm Illidan,,Monster,LIGHT,Reptile / Effect,5,2000 / 1800,,,,,,
Phantom Darkness,,Secret Rare,Yubel - The Ultimate Nightmare,,Monster,DARK,Fiend / Effect,12,0 / 0,,,,,,
Legend of Blue Eyes White Dragon,,Rare,Fusionist,,Monster,EARTH,Beast / Fusion,3,900 / 700,,,,,,
Dark Crisis,,Secret Rare,Vampire Lord,,Monster,DARK,Zombie / Effect,5,2000 / 1500,,,,,,
Metal Raiders,,Common,Paralyzing Potion,,Spell,,,,,,,,,,
Legacy of Darkness,,Common,Super Roboyarou,,Monster,EARTH,Machine / Fusion / Effect,6,1200 / 500,,,,,,
Galactic Overlord,,Rare,Lightray Grepher,,Monster,LIGHT,Warrior / Effect,4,1700 / 1600,,,,,,
Dark Neostorm,,Rare,Star Staring Starling,,Monster,WIND,Winged Beast / Effect,4,1000 / 1500,,,,,,
Lightning Overdrive,,Common,Paleozoic Cambroraster,,Monster,WATER,Aqua / Link / Effect,,,,,,,,
Extreme Force,,Rare,Mekk-Knight Red Moon,,Monster,LIGHT,Psychic / Effect,7,2300 / 2600,,,,,,
Phantom Darkness,,Common,Blue Thunder T-45,,Monster,LIGHT,Machine / Effect,4,1700 / 1000,,,,,,
Dimension of Chaos,,Ultra Rare,Kozmo Strawman,,Monster,LIGHT,Psychic / Effect,2,500 / 1800,,,,,,
Storm of Ragnarok,,Rare,Symphonic Warrior Piaano,,Monster,WIND,Machine / Tuner,3,900 / 1300,,,,,,
Flaming Eternity,,Common,Re-Fusion,,Spell,,,,,,,,,,
Shadow Specters,,Common,Intrigue Shield,,Trap,,,,,,,,,,
Ignition Assault,,Ultra Rare,Dark Templar @Ignister,,Monster,DARK,Cyberse / Link / Effect,,,,,,,,
Pharaonic Guardian,,Rare,Pyramid Turtle,,Monster,EARTH,Zombie / Effect,4,1200 / 1400,,,,,,
Chaos Impact,,Common,Marincess Snow,,Trap,,,,,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Deskbot 001,,Monster,EARTH,Machine / Tuner / Effect,1,500 / 500,,,,,,
Ancient Sanctuary,,Common,Backfire,,Trap,,,,,,,,,,
Stardust Overdrive,,Rare,Catoblepas and the Witch of Fate,,Monster,EARTH,Spellcaster / Effect,4,1800 / 0,,,,,,
Rise of the Duelist,,Common,Megalith Phul,,Monster,EARTH,Rock / Ritual / Effect,2,500 / 2000,,,,,,
Maximum Gold,,Rare,Union Scramble,,Trap,,,,,,,,,,
Generation Force,,Common,Crashbug Y,,Monster,DARK,Fiend / Effect,3,1400 / 1600,,,,,,
Abyss Rising,,Common,Heroic Gift,,Trap,,,,,,,,,,
The Lost Millennium,,Rare,Elemental Mistress Doriado,,Monster,LIGHT,Spellcaster / Ritual / Effect,3,1200 / 1400,,,,,,
Storm of Ragnarok,,Common,Nordic Relic Laevateinn,,Trap,,,,,,,,,,
Generation Force,,Rare,Airorca,,Monster,WIND,Sea Serpent / Effect,3,1400 / 300,,,,,,
Cosmo Blazer,,Common,Hazy Flame Sphynx,,Monster,FIRE,Beast-Warrior / Effect,6,1900 / 1900,,,,,,
The Dark Illusion,,Secret Rare,Pot of Desires,,Spell,,,,,,,,,,
Cybernetic Revolution,,Rare,Miracle Fusion,,Spell,,,,,,,,,,
Invasion of Chaos,,Rare,Curse of Darkness,,Trap,,,,,,,,,,
Return of the Duelist,,Super Rare,Sword Breaker,,Monster,EARTH,Warrior / Xyz / Effect,,2700 / 1000,6,,,,,
Light of Destruction,,Rare,Glorious Illusion,,Trap,,,,,,,,,,
Return of the Duelist,,Secret Rare,Spirit Converter,,Spell,,,,,,,,,,
Pharaoh's Servant,,Common,Bombardment Beetle,,Monster,WIND,Insect / Effect,2,400 / 900,,,,,,
Power of the Duelist,,Super Rare,Neo-Spacian Aqua Dolphin,,Monster,WATER,Warrior / Effect,3,600 / 800,,,,,,
Galactic Overlord,,Common,Blade Bounzer,,Monster,EARTH,Warrior / Effect,4,1800 / 1400,,,,,,
Phantom Darkness,,Common,The Calculator,,Monster,LIGHT,Thunder / Effect,2,? / 0,,,,,,
Burst of Destiny,,Secret Rare,Icejade Tremora,,Monster,WATER,Aqua / Effect,5,1500 / 1500,,,,,,
Soul Fusion,,Ultra Rare,Danger! Response Team,,Spell,,,,,,,,,,
The Dark Illusion,,Rare,Triamid Cruiser,,Spell,,,,,,,,,,
Eternity Code,,Common,Stairs of Mail,,Spell,,,,,,,,,,
Gladiator's Assault,,Secret Rare,Veil of Darkness,,Spell,,,,,,,,,,
Code of the Duelist,,Rare,"World Legacy - ""World Chalice""",,Monster,DARK,Machine / Effect,5,0 / 0,,,,,,
Dark Crisis,,Rare,Darkbishop Archfiend,,Monster,WATER,Fiend / Effect,3,300 / 1400,,,,,,
Code of the Duelist,,Secret Rare,Trickstar Reincarnation,,Trap,,,,,,,,,,
Soul of the Duelist,,Common,Unshaven Angler,,Monster,WATER,Fish / Effect,4,1500 / 1600,,,,,,
Flaming Eternity,,Common,Space Mambo,,Monster,WATER,Fish,4,1700 / 1000,,,,,,
Metal Raiders,,Super Short Print,Gazelle the King of Mythical Beasts,,Monster,EARTH,Beast / Normal,4,1500 / 1200,,,,,,
The New Challengers,,Rare,Oasis of Dragon Souls,,Trap,,,,,,,,,,
Gladiator's Assault,,Rare,Gladiator Beast's Respite,,Spell,,,,,,,,,,
Cybernetic Revolution,,Common,Spiritual Fire Art - Kurenai,,Trap,,,,,,,,,,
Crossroads of Chaos,,Ultra Rare,Psychokinesis,,Spell,,,,,,,,,,
Primal Origin,,Common,Gimmick Puppet Des Troy,,Monster,DARK,Machine / Effect,4,1200 / 2000,,,,,,
Galactic Overlord,,Super Rare,Spiritual Light Art - Hijiri,,Trap,,,,,,,,,,
Pharaonic Guardian,,Super Rare,Statue of the Wicked,,Trap,,,,,,,,,,
The New Challengers,,Common,Fusion Substitute,,Spell,,,,,,,,,,
Dawn of Majesty,,Common,Doombearer Psychopompos,,Monster,EARTH,Zombie / Tuner / Effect,2,0 / 0,,,,,,
Legend of Blue Eyes White Dragon,,Common,Yami,,Spell,,,,,,,,,,
Soul Fusion,,Super Rare,Noble Knight Iyvanne,,Monster,LIGHT,Warrior / Effect,4,1700 / 1600,,,,,,
Shining Victories,,Ultra Rare,Amorphage Lechery,,Monster,EARTH,Dragon / Pendulum / Effect,2,1350 / 0,,,,,,
Blazing Vortex,,Ultra Rare,S-Force Justify,,Monster,LIGHT,Cyberse / Link / Effect,,,,,,,,
The Duelist Genesis,,Common,Psychic Snail,,Monster,EARTH,Psychic / Effect,4,1900 / 1200,,,,,,
Rise of Destiny,,Common,Element Magician,,Monster,LIGHT,Spellcaster / Effect,4,1500 / 1200,,,,,,
Force of the Breaker,,Common,Volcanic Scattershot,,Monster,FIRE,Pyro / Effect,2,500 / 0,,,,,,
Magician's Force,,Rare,Dramatic Rescue,,Trap,,,,,,,,,,
Maximum Gold,,Premium Gold Rare,Gaia the Dragon Champion,,Monster,WIND,Dragon / Fusion,7,2600 / 2100,,,,,,
Dimension Force,,Super Rare,Motor Frenzy,,Monster,DARK,Machine / Effect,6,2100 / 1200,,,,,,
Cybernetic Horizon,,Secret Rare,Borrelsword Dragon,,Monster,DARK,Dragon / Link / Effect,,,,,,,,
Crossed Souls,,Rare,Fusion Conscription,,Spell,,,,,,,,,,
Maximum Gold,,Rare,Darklord Nasten,,Monster,DARK,Fairy / Effect,7,2600 / 2600,,,,,,
Invasion: Vengeance,,Common,Crystron Entry,,Trap,,,,,,,,,,
Magician's Force,,Super Rare,X-Head Cannon,,Monster,LIGHT,Machine / Normal,4,1800 / 1500,,,,,,
Extreme Force,,Super Rare,Vendread Core,,Monster,DARK,Zombie / Effect,1,0 / 500,,,,,,
Crossed Souls,,Ultra Rare,"Zefraxi, Treasure of the Yang Zing",,Monster,EARTH,Wyrm / Pendulum / Effect,3,1500 / 0,,,,,,
Lightning Overdrive,,Common,Clock Arc,,Monster,DARK,Machine / Pendulum / Effect,4,600 / 1200,,,,,,
Stardust Overdrive,,Super Rare,Black Brutdrago,,Monster,FIRE,Dragon / Synchro / Effect,8,3000 / 2600,,,,,,
Lord of the Tachyon Galaxy,,Short Print,Green Duston,,Monster,WIND,Fiend / Effect,1,0 / 1000,,,,,,
Raging Battle,,Common,Master Gig,,Monster,EARTH,Psychic / Effect,8,2600 / 1400,,,,,,
Circuit Break,,Common,World Legacy in Shadow,,Spell,,,,,,,,,,
Savage Strike,,Common,Shiranui Style Solemnity,,Spell,,,,,,,,,,
Duelist Revolution,,Common,Pestilence,,Spell,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Ultra Rare,Red-Eyes Black Dragon,Red-Eyes B. Dragon,Monster,DARK,Dragon / Normal,7,2400 / 2000,,,,,,
Maximum Gold,,Rare,Madolche Chateau,,Spell,,,,,,,,,,
Battle of Chaos,,Secret Rare,Sales Ban,,Spell,,,,,,,,,,
Burst of Destiny,,Common,Apex Predation,,Trap,,,,,,,,,,
Duelist Alliance,,Short Print,Spy-C-Spy,,Monster,FIRE,Warrior / Effect,3,1200 / 1300,,,,,,
Return of the Duelist,,Rare,Soul Drain,,Trap,,,,,,,,,,
Metal Raiders,,Ultra Rare,Summoned Skull,,Monster,DARK,Fiend / Normal,6,2500 / 1200,,,,,,
Storm of Ragnarok,,Common,Cosmic Compass,,Monster,EARTH,Machine / Effect,1,100 / 300,,,,,,
Ancient Sanctuary,,Rare,Spell Economics,,Spell,,,,,,,,,,
Lord of the Tachyon Galaxy,,Common,Fire Formation - Kaiyo,,Trap,,,,,,,,,,
Legacy of Darkness,,Common,Woodland Sprite,,Monster,EARTH,Plant / Effect,3,900 / 400,,,,,,
Lord of the Tachyon Galaxy,,Rare,"Redox, Dragon Ruler of Boulders",,Monster,EARTH,Dragon / Effect,7,1600 / 3000,,,,,,
Circuit Break,,Common,Metaphys Factor,,Spell,,,,,,,,,,
Extreme Victory,,Rare,Buster Blaster,,Monster,EARTH,Machine / Union,1,0 / 0,,,,,,
Metal Raiders,,Common,Disk Magician,,Monster,DARK,Machine,4,1350 / 1000,,,,,,
Ancient Prophecy,,Super Rare,Skill Successor,,Trap,,,,,,,,,,
Lightning Overdrive,,Common,War Rock Big Blow,,Trap,,,,,,,,,,
Pharaonic Guardian,,Common,Trap Dustshoot,,Trap,,,,,,,,,,
Dimension of Chaos,,Common,Fluffal Wings,,Monster,LIGHT,Fairy / Effect,1,100 / 100,,,,,,
Rising Rampage,,Common,Number 29: Mannequin Cat,,Monster,LIGHT,Beast / Xyz / Effect,,2000 / 900,2,,,,,
Crossed Souls,,Common,"Zefraxa, Flame Beast of the Nekroz",,Monster,FIRE,Dragon / Pendulum / Effect,5,2000 / 1000,,,,,,
Duelist Revolution,,Common,Wattcannon,,Trap,,,,,,,,,,
Starstrike Blast,,Ultra Rare,Supreme Arcanite Magician,,Monster,LIGHT,Spellcaster / Fusion / Effect,10,1400 / 2800,,,,,,
Raging Tempest,,Rare,Shinobaron Peacock,,Monster,WIND,Winged Beast / Ritual / Spirit / Effect,8,3000 / 2500,,,,,,
Photon Shockwave,,Rare,Wind-Up Knight,,Monster,LIGHT,Warrior / Effect,4,1800 / 1200,,,,,,
Crimson Crisis,,Secret Rare,Puppet King,,Monster,EARTH,Warrior / Effect,7,2800 / 2600,,,,,,
Shining Victories,,Rare,Amorphage Gluttony,,Monster,EARTH,Dragon / Pendulum / Effect,2,0 / 1850,,,,,,
Phantom Rage,,Common,U.A. Man of the Match,,Trap,,,,,,,,,,
Absolute Powerforce,,Common,Viper's Rebirth,Viper's Reverse,Spell,,,,,,,,,,
Return of the Duelist,,Common,Block Golem,,Monster,EARTH,Rock / Effect,3,1000 / 1500,,,,,,
The Duelist Genesis,,Secret Rare,Cyber Shark,,Monster,WATER,Fish / Effect,5,2100 / 2000,,,,,,
Dimension of Chaos,,Secret Rare,Odd-Eyes Fusion,,Spell,,,,,,,,,,
Strike of Neos,,Common,Firestorm Prominence,,Monster,FIRE,Reptile / Effect,7,2000 / 1500,,,,,,
Cosmo Blazer,,Super Rare,Mermail Abyssdine,,Monster,WATER,Aqua / Effect,3,1000 / 200,,,,,,
Primal Origin,,Common,Sylvan Cherubsprout,,Monster,LIGHT,Plant / Effect,1,100 / 100,,,,,,
Extreme Victory,,Secret Rare,Gladiator Taming,,Spell,,,,,,,,,,
Eternity Code,,Common,Flourishing Frolic,,Spell,,,,,,,,,,
Labyrinth of Nightmare,,Common,Blind Destruction,,Trap,,,,,,,,,,
Legacy of Darkness,,Ultra Rare,Creature Swap,,Spell,,,,,,,,,,
Legacy of Darkness,,Ultra Rare,Fiber Jar,,Monster,EARTH,Plant / Effect,3,500 / 500,,,,,,
Chaos Impact,,Super Rare,"Gorgon, Empress of the Evil Eyed",,Monster,DARK,Fiend / Link / Effect,,,,,,,,
Savage Strike,,Rare,Impcantation Chalislime,,Monster,DARK,Aqua / Ritual / Effect,7,2500 / 1800,,,,,,
Flames of Destruction,,Common,Defrag Dragon,,Monster,DARK,Dragon / Effect,3,1000 / 600,,,,,,
Duelist Revolution,,Rare,Scrap Hunter,,Monster,EARTH,Machine / Effect,3,1600 / 400,,,,,,
Circuit Break,,Common,Altergeist Kunquery,,Monster,EARTH,Spellcaster / Effect,5,0 / 2400,,,,,,
Soul of the Duelist,,Common,Level Up!,,Spell,,,,,,,,,,
Crossroads of Chaos,,Rare,Cactus Fighter,,Monster,EARTH,Plant / Effect,4,1900 / 400,,,,,,
Raging Tempest,,Common,Shinobird Salvation,,Trap,,,,,,,,,,
Magician's Force,,Super Rare,XZ-Tank Cannon,,Monster,LIGHT,Machine / Fusion / Effect,6,2400 / 2100,,,,,,
Shadow Specters,,Common,Bujingi Ibis,,Monster,LIGHT,Winged Beast / Effect,4,1600 / 300,,,,,,
Ignition Assault,,Super Rare,Megalith Ophiel,,Monster,EARTH,Rock / Ritual / Effect,4,1600 / 2500,,,,,,
Tactical Evolution,,Common,Shadow Delver,,Monster,DARK,Fiend / Gemini,4,1500 / 500,,,,,,
Soul Fusion,,Super Rare,Some Summer Summoner,,Monster,LIGHT,Thunder / Link / Effect,,,,,,,,
Rise of the Duelist,,Super Rare,"Dogmatika Adin, the Enlightened",,Monster,LIGHT,Spellcaster / Effect,4,1000 / 1800,,,,,,
Legacy of Darkness,,Rare,Thunder Nyan Nyan,,Monster,LIGHT,Thunder / Effect,4,1900 / 800,,,,,,
The Dark Illusion,,Rare,D/D Savant Thomas,,Monster,DARK,Fiend / Pendulum / Effect,8,1800 / 2600,,,,,,
Dimension of Chaos,,Common,Superheavy Samurai Drum,,Monster,EARTH,Machine / Tuner / Effect,1,300 / 300,,,,,,
Eternity Code,,Ultra Rare,Union Driver,,Monster,LIGHT,Machine / Union / Effect,5,2100 / 1000,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,D/D/D Vice King Requiem,,Monster,DARK,Fiend / Pendulum / Effect,8,2800 / 2000,,,,,,
Abyss Rising,,Super Rare,Abyss-squall,,Trap,,,,,,,,,,
Galactic Overlord,,Common,Aquamirror Cycle,,Trap,,,,,,,,,,
Absolute Powerforce,,Short Print,Pot of Benevolence,,Spell,,,,,,,,,,
Absolute Powerforce,,Ultra Rare,"Garlandolf, King of Destruction",,Monster,DARK,Fiend / Ritual / Effect,7,2500 / 1400,,,,,,
Flaming Eternity,,Common,Maji-Gire Panda,,Monster,EARTH,Beast / Effect,4,1000 / 800,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Void Cauldron,,Trap,,,,,,,,,,
Judgment of the Light,,Super Rare,Number C104: Umbral Horror Masquerade,,Monster,DARK,Spellcaster / Xyz / Effect,,3000 / 1500,5,,,,,
Blazing Vortex,,Common,Dogmatika Genesis,,Trap,,,,,,,,,,
Light of Destruction,,Secret Rare,Tualatin,,Monster,LIGHT,Fairy / Effect,8,2800 / 2500,,,,,,
Judgment of the Light,,Common,Bujingi Wolf,,Monster,LIGHT,Beast / Effect,4,1100 / 2000,,,,,,
Shining Victories,,Common,Geargianchor,,Monster,EARTH,Machine / Effect,4,1800 / 500,,,,,,
Soul Fusion,,Super Rare,Mystrick Hulder,,Monster,DARK,Spellcaster / Effect,5,1500 / 2400,,,,,,
Invasion: Vengeance,,Rare,Meteor Dragon Red-Eyes Impact,,Monster,DARK,Dragon / Gemini / Effect,6,1800 / 2000,,,,,,
The New Challengers,,Short Print,Ms. Judge,,Monster,LIGHT,Fiend / Effect,4,1800 / 600,,,,,,
Crossed Souls,,Rare,Junk Anchor,,Monster,EARTH,Warrior / Tuner / Effect,2,0 / 0,,,,,,
Metal Raiders,,Super Short Print,Cocoon of Evolution,,Monster,EARTH,Insect / Effect,3,0 / 2000,,,,,,
Duelist Revolution,,Rare,Synchro Fusionist,,Monster,DARK,Spellcaster / Effect,2,800 / 600,,,,,,
Chaos Impact,,Common,Chobham Armor Dragon,,Monster,DARK,Dragon / Effect,1,0 / 0,,,,,,
Gladiator's Assault,,Common,Natural Disaster,,Trap,,,,,,,,,,
Spell Ruler,,Common,Turtle Oath,,Spell,,,,,,,,,,
Dark Crisis,,Common,Staunch Defender,,Trap,,,,,,,,,,
Dawn of Majesty,,Ultra Rare,"Gizmek Naganaki, the Sunrise Signaler",,Monster,LIGHT,Machine / Effect,2,950 / 950,,,,,,
Burst of Destiny,,Common,Giant Starfall,,Trap,,,,,,,,,,
Raging Tempest,,Secret Rare,That Grass Looks Greener,,Spell,,,,,,,,,,
Stardust Overdrive,,Super Rare,Seal of Wickedness,,Trap,,,,,,,,,,
Shining Victories,,Common,Lunalight Wolf,,Monster,LIGHT,Beast-Warrior / Pendulum / Effect,6,2000 / 1800,,,,,,
Invasion of Chaos,,Short Print,Witch Doctor of Chaos,,Monster,DARK,Spellcaster / Effect,2,500 / 500,,,,,,
Chaos Impact,,Secret Rare,Marincess Blue Tang,,Monster,WATER,Cyberse / Effect,4,1500 / 1200,,,,,,
Starstrike Blast,,Super Rare,Different Dimension Ground,,Trap,,,,,,,,,,
Dark Neostorm,,Super Rare,Mayakashi Winter,,Spell,,,,,,,,,,
Pharaonic Guardian,,Common,Different Dimension Capsule,,Spell,,,,,,,,,,
Dimension Force,,Common,Scareclaw Acro,,Monster,EARTH,Beast / Effect,3,0 / 2000,,,,,,
Legacy of the Valiant,,Common,Purge Ray,,Trap,,,,,,,,,,
Dark Crisis,,Common,Guardian Kay'est,,Monster,WATER,Sea Serpent / Effect,4,1000 / 1800,,,,,,
Crimson Crisis,,Rare,Assault Armor,,Spell,,,,,,,,,,
Dark Neostorm,,Ultra Rare,World Legacy Monstrosity,,Spell,,,,,,,,,,
Ignition Assault,,Rare,Fire Phoenix @Ignister,,Monster,FIRE,Cyberse / Link / Effect,,,,,,,,
Maximum Gold,,Rare,Set Rotation,,Spell,,,,,,,,,,
Phantom Rage,,Common,Infernity Wildcat,,Monster,DARK,Fiend / Tuner / Effect,3,1400 / 0,,,,,,
Extreme Force,,Ultra Rare,"Clara & Rushka, the Ventriloduo",,Monster,EARTH,Spellcaster / Link / Effect,,,,,,,,
Photon Shockwave,,Common,Zenmailfunction,,Spell,,,,,,,,,,
Stardust Overdrive,,Rare,Earthbound Immortal Revival,Earthbound Revival,Spell,,,,,,,,,,
Phantom Rage,,Ultra Rare,Dual Avatar - Empowered Kon-Gyo,,Monster,LIGHT,Warrior / Fusion / Effect,8,3000 / 1700,,,,,,
Eternity Code,,Common,Salamangreat Zebroid X,,Monster,FIRE,Cyberse / Effect,4,1500 / 1000,,,,,,
Secrets of Eternity,,Common,Dododo Swordsman,,Monster,EARTH,Warrior / Effect,8,0 / 3000,,,,,,
Chaos Impact,,Rare,Gladiator Beast United,,Spell,,,,,,,,,,
The Duelist Genesis,,Rare,Dark Resonator,,Monster,DARK,Fiend / Tuner / Effect,3,1300 / 300,,,,,,
Code of the Duelist,,Rare,Gouki Suprex,,Monster,EARTH,Warrior / Effect,4,1800 / 0,,,,,,
Judgment of the Light,,Secret Rare,Brotherhood of the Fire Fist - Rooster,,Monster,FIRE,Beast-Warrior / Effect,3,1500 / 100,,,,,,
The Duelist Genesis,,Rare,Herald of Orange Light,,Monster,LIGHT,Fairy / Tuner / Effect,2,300 / 500,,,,,,
Code of the Duelist,,Super Rare,Heavy Storm Duster,,Trap,,,,,,,,,,
Maximum Crisis ,,Common,Predaplant Darlingtonia Cobra,,Monster,DARK,Plant / Effect,3,1000 / 1500,,,,,,
Maximum Crisis ,,Rare,Performapal Sky Magician,,Monster,WIND,Spellcaster / Effect,7,2500 / 2000,,,,,,
Absolute Powerforce,,Rare,Evil Blast,,Trap,,,,,,,,,,
Code of the Duelist,,Common,Gogogo Aristera & Dexia,,Monster,EARTH,Rock / Effect,4,0 / 2200,,,,,,
Lord of the Tachyon Galaxy,,Ultra Rare,Rank-Up-Magic Barian's Force,,Spell,,,,,,,,,,
Shining Victories,,Rare,Lunalight Blue Cat,,Monster,DARK,Beast-Warrior / Effect,4,1600 / 1200,,,,,,
Burst of Destiny,,Common,Threshold Borg,,Monster,EARTH,Cyberse / Effect,7,2400 / 2000,,,,,,
Maximum Crisis ,,Super Rare,Zefraath,,Monster,EARTH,Rock / Pendulum / Effect,11,3450 / 2950,,,,,,
Shadow of Infinity,,Common,Beelze Frog,,Monster,WATER,Aqua / Effect,3,1200 / 800,,,,,,
Rise of the Duelist,,Super Rare,Nemeses Keystone,,Monster,EARTH,Rock / Effect,1,700 / 0,,,,,,
Blazing Vortex,,Super Rare,Angel Statue - Azurune,,Trap,,,,,,,,,,
Gladiator's Assault,,Common,Gladiator Beast's Battle Gladius,,Spell,,,,,,,,,,
Pharaoh's Servant,,Super Rare,Dust Tornado,,Trap,,,,,,,,,,
Generation Force,,Common,Damage Vaccine Ω MAX,,Trap,,,,,,,,,,
Maximum Gold,,Rare,Barrier Statue of the Heavens,,Monster,LIGHT,Fairy / Effect,4,1000 / 1000,,,,,,
Legend of Blue Eyes White Dragon,,Ultra Rare,Exodia the Forbidden One,,Monster,DARK,Spellcaster / Effect,3,1000 / 1000,,,,,,
Battle of Chaos,,Common,Leafplace Plaice,,Monster,DARK,Psychic / Effect,3,? / ?,,,,,,
Metal Raiders,,Super Rare,Catapult Turtle,,Monster,WATER,Aqua / Effect,5,1000 / 2000,,,,,,
Galactic Overlord,,Ultra Rare,Xyz Unit,,Spell,,,,,,,,,,
Ancient Sanctuary,,Common,Spirit Caller,,Monster,LIGHT,Spellcaster / Flip / Effect,3,1000 / 1000,,,,,,
Breakers of Shadow,,Common,Aegaion the Sea Castrum,,Monster,WATER,Machine / Xyz / Effect,,? / 3000,8,,,,,
The Duelist Genesis,,Ultra Rare,Psychic Overload,,Trap,,,,,,,,,,
Eternity Code,,Super Rare,Nemeses Umbrella,,Monster,WATER,Aqua / Effect,3,1500 / 400,,,,,,
Ignition Assault,,Common,Matching Outfits,,Trap,,,,,,,,,,
The Duelist Genesis,,Ultra Rare,Emergency Teleport,,Spell,,,,,,,,,,
Phantom Darkness,,Common,Dimension Explosion,,Spell,,,,,,,,,,
Metal Raiders,,Common,Hunter Spider,,Monster,EARTH,Insect,5,1600 / 1400,,,,,,
Rise of the Duelist,,Common,Dogmatika Nation,,Spell,,,,,,,,,,
Soul Fusion,,Common,Salamangreat Sanctuary,,Spell,,,,,,,,,,
Primal Origin,,Rare,Mermaid Shark,,Monster,WATER,Fish / Effect,1,100 / 300,,,,,,
Strike of Neos,,Super Rare,Gene-Warped Warwolf,,Monster,EARTH,Beast-Warrior,4,2000 / 100,,,,,,
